doc_id,item,category,amount,price,discount
13-3_20250828121026-20YX,Зубная паста отбеливающая,средства гигиены,5,1543.68,0.3
13-3_20250828121026-RIOY,Молоко пастеризованное 2.5%,продукты питания,5,1436.94,0.06
13-3_20250828121026-C28R,Влажные салфетки для гигиены животных,товары для животных,5,4388.66,0.01
13-3_20250828121026-GWZO,Средство для мытья посуды универсальное,бытовая химия,4,3630.68,0.0
13-3_20250828121026-7EZN,Чайный сервиз на 6 персон,посуда,2,3308.1,0.02
13-3_20250828121026-5AL0,Миски устойчивые для корма и воды,товары для животных,2,1419.42,0.28
13-3_20250828121026-LT25,Набор столовых приборов на 6 персон,посуда,3,2620.2,0.02
13-3_20250828121026-47L6,Ватные диски косметические,средства гигиены,4,4988.45,0.15
13-3_20250828121026-ACR4,Средство для мытья посуды универсальное,бытовая химия,2,60.86,0.26
13-3_20250828121026-DV4H,Чайный сервиз на 6 персон,посуда,3,1193.17,0.21
13-3_20250828121026-L67Z,Стиральный порошок для цветного белья,бытовая химия,5,4655.86,0.16
13-3_20250828121026-UDH1,Зубная паста отбеливающая,средства гигиены,4,3261.51,0.03
13-3_20250828121026-DMI4,Порошок для прочистки труб,бытовая химия,2,299.38,0.17
13-3_20250828121026-ZL2M,Порошок для прочистки труб,бытовая химия,4,2382.29,0.07
13-3_20250828121026-UJAT,Чистящий крем для сантехники,бытовая химия,3,2327.54,0.2
13-3_20250828121026-Y30P,Чайный сервиз на 6 персон,посуда,2,3339.48,0.12
13-3_20250828121026-4I13,Лежанка для животных с бортиками,товары для животных,4,4627.17,0.12
13-3_20250828121026-FC9J,Шампунь для нормальных волос,средства гигиены,4,3447.78,0.24
13-3_20250828121026-DQP3,Дезодорант-антиперспирант,средства гигиены,1,4097.12,0.1
13-3_20250828121026-7BI5,Набор тарелок глубоких 6 шт,посуда,3,3336.91,0.2
13-3_20250828121026-BRY8,Шампунь для нормальных волос,средства гигиены,2,2045.82,0.16
13-3_20250828121026-67Q5,Дезодорант-антиперспирант,средства гигиены,5,3001.81,0.07
13-3_20250828121026-NTBO,Молоко пастеризованное 2.5%,продукты питания,5,4444.44,0.09
13-3_20250828121026-EYZ2,Картофель очищенный,продукты питания,1,502.53,0.14
13-3_20250828121026-AO7E,Порошок для прочистки труб,бытовая химия,5,401.9,0.19
13-3_20250828121026-HPU1,Влажные салфетки для гигиены животных,товары для животных,2,4592.69,0.21
13-3_20250828121026-8UOK,Кастрюля нержавеющая 3 л,посуда,5,979.53,0.07
13-3_20250828121026-M9K9,Картофель очищенный,продукты питания,5,4409.0,0.11
13-3_20250828121026-UJNX,Средство для мытья окон без разводов,бытовая химия,1,4382.56,0.02
13-3_20250828121026-YDFG,Средство для мытья посуды универсальное,бытовая химия,3,3618.3,0.19
13-3_20250828121026-0A8H,Гель для душа увлажняющий,средства гигиены,4,4220.47,0.13
13-3_20250828121026-5KZV,Бананы свежие,продукты питания,2,601.97,0.03
13-3_20250828121026-31AJ,Стиральный порошок для цветного белья,бытовая химия,3,2939.14,0.05
13-3_20250828121026-VH1P,Картофель очищенный,продукты питания,4,3644.54,0.19
13-3_20250828121026-AGAN,Зубная паста отбеливающая,средства гигиены,3,4833.66,0.14
13-3_20250828121026-FMA4,Средство для мытья посуды универсальное,бытовая химия,2,2840.97,0.16
13-3_20250828121026-J6PL,Ватные диски косметические,средства гигиены,3,3500.17,0.06
13-3_20250828121026-KL1K,Средство для мытья посуды универсальное,бытовая химия,1,4076.54,0.09
13-3_20250828121026-H4U2,Набор столовых приборов на 6 персон,посуда,5,3080.09,0.29
13-3_20250828121026-LZ94,Куриные яйца С1,продукты питания,2,792.49,0.18
13-3_20250828121026-1CPA,Влажные салфетки для гигиены животных,товары для животных,3,2823.45,0.09
13-3_20250828121026-CIP1,Шампунь для нормальных волос,средства гигиены,5,139.49,0.23
13-3_20250828121026-54UX,Молоко пастеризованное 2.5%,продукты питания,5,1156.37,0.27
13-3_20250828121026-2CJF,Средство для мытья окон без разводов,бытовая химия,3,3623.08,0.29
13-3_20250828121026-QSNE,Шампунь для нормальных волос,средства гигиены,4,4919.76,0.05
13-3_20250828121026-P1C3,Гель для душа увлажняющий,средства гигиены,5,3842.4,0.08
13-3_20250828121026-3UUW,Чайный сервиз на 6 персон,посуда,2,3306.82,0.25
13-3_20250828121026-C9YX,Куриные яйца С1,продукты питания,1,2505.63,0.13
13-3_20250828121026-9V2J,Куриные яйца С1,продукты питания,3,521.01,0.16
13-3_20250828121026-71V1,Куриные яйца С1,продукты питания,4,3409.04,0.03
13-3_20250828121026-EMZ4,Лежанка для животных с бортиками,товары для животных,1,1665.51,0.16
13-3_20250828121026-AAT7,Лежанка для животных с бортиками,товары для животных,3,697.56,0.11
13-3_20250828121026-3MWP,Ватные диски косметические,средства гигиены,3,653.87,0.0
13-3_20250828121026-5L6D,Набор тарелок глубоких 6 шт,посуда,4,3827.56,0.01
13-3_20250828121026-14V5,Лежанка для животных с бортиками,товары для животных,1,4109.33,0.14
13-3_20250828121026-ZEC7,Бананы свежие,продукты питания,3,306.57,0.21
13-3_20250828121026-NDV6,Набор столовых приборов на 6 персон,посуда,2,2014.74,0.17
