doc_id,item,category,amount,price,discount
13-2_20250828121026-SMKE,Порошок для прочистки труб,бытовая химия,5,926.79,0.05
13-2_20250828121026-6EW7,Чистящий крем для сантехники,бытовая химия,2,591.01,0.2
13-2_20250828121026-6JRQ,Чистящий крем для сантехники,бытовая химия,2,3517.0,0.14
13-2_20250828121026-YGEO,Средство для мытья посуды универсальное,бытовая химия,5,2192.73,0.03
13-2_20250828121026-CYHI,Щетка-пуходерка для вычесывания,товары для животных,4,1595.61,0.0
13-2_20250828121026-AZN5,Картофель очищенный,продукты питания,5,2576.86,0.3
13-2_20250828121026-AA1O,Порошок для прочистки труб,бытовая химия,1,111.93,0.09
13-2_20250828121026-24NN,Кастрюля нержавеющая 3 л,посуда,4,1498.54,0.23
13-2_20250828121026-TPR4,Набор столовых приборов на 6 персон,посуда,5,849.12,0.04
13-2_20250828121026-7OGX,Шампунь для нормальных волос,средства гигиены,1,1341.77,0.13
