doc_id,item,category,amount,price,discount
19-3_20250828121026-S8N0,Картофель очищенный,продукты питания,3,4351.5,0.17
19-3_20250828121026-PEEP,Щетка-пуходерка для вычесывания,товары для животных,5,4731.93,0.12
19-3_20250828121026-8FJK,Гель для душа увлажняющий,средства гигиены,4,3374.48,0.17
19-3_20250828121026-5QLP,Лежанка для животных с бортиками,товары для животных,5,2006.62,0.15
19-3_20250828121026-YUWZ,Молоко пастеризованное 2.5%,продукты питания,4,2279.24,0.2
19-3_20250828121026-L9K8,Стиральный порошок для цветного белья,бытовая химия,1,3835.96,0.13
19-3_20250828121026-JG4H,Шампунь для нормальных волос,средства гигиены,5,867.85,0.26
19-3_20250828121026-BN26,Лоток с сеткой для кошек,товары для животных,1,319.54,0.16
19-3_20250828121026-6NPJ,Чайный сервиз на 6 персон,посуда,4,2123.37,0.02
19-3_20250828121026-Z4Y1,Чистящий крем для сантехники,бытовая химия,2,213.74,0.1
19-3_20250828121026-RTK5,Зубная паста отбеливающая,средства гигиены,3,2232.33,0.28
19-3_20250828121026-DMGJ,Зубная паста отбеливающая,средства гигиены,5,2245.27,0.24
19-3_20250828121026-ELMY,Кастрюля нержавеющая 3 л,посуда,5,1911.94,0.2
19-3_20250828121026-ELXP,Дезодорант-антиперспирант,средства гигиены,5,359.28,0.06
19-3_20250828121026-X59I,Зубная паста отбеливающая,средства гигиены,1,3482.31,0.09
19-3_20250828121026-B5W8,Бананы свежие,продукты питания,3,996.37,0.28
19-3_20250828121026-RVK8,Лоток с сеткой для кошек,товары для животных,4,3833.83,0.28
19-3_20250828121026-1PRW,Шампунь для нормальных волос,средства гигиены,5,407.88,0.09
19-3_20250828121026-QZ98,Миски устойчивые для корма и воды,товары для животных,4,2802.17,0.27
19-3_20250828121026-0BEW,Средство для мытья окон без разводов,бытовая химия,5,3197.42,0.03
19-3_20250828121026-K2I1,Лоток с сеткой для кошек,товары для животных,1,4505.5,0.12
19-3_20250828121026-4H5B,Набор столовых приборов на 6 персон,посуда,4,262.15,0.1
19-3_20250828121026-MYV1,Кастрюля нержавеющая 3 л,посуда,2,4375.05,0.16
19-3_20250828121026-GV5J,Чайный сервиз на 6 персон,посуда,1,4702.0,0.19
19-3_20250828121026-SMG0,Стиральный порошок для цветного белья,бытовая химия,5,4846.14,0.1
19-3_20250828121026-B19P,Молоко пастеризованное 2.5%,продукты питания,1,880.58,0.11
19-3_20250828121026-MN7O,Хлеб цельнозерновой,продукты питания,5,1980.11,0.06
19-3_20250828121026-Y4H3,Лоток с сеткой для кошек,товары для животных,3,1953.32,0.08
19-3_20250828121026-OLLM,Чайный сервиз на 6 персон,посуда,2,1718.27,0.02
19-3_20250828121026-NPW3,Влажные салфетки для гигиены животных,товары для животных,1,3686.49,0.11
19-3_20250828121026-GZYE,Миски устойчивые для корма и воды,товары для животных,5,1686.39,0.24
19-3_20250828121026-4UD8,Дезодорант-антиперспирант,средства гигиены,5,2776.73,0.2
19-3_20250828121026-RZBA,Гель для душа увлажняющий,средства гигиены,3,1850.75,0.06
19-3_20250828121026-3ER2,Лежанка для животных с бортиками,товары для животных,3,2538.45,0.09
19-3_20250828121026-QYL0,Зубная паста отбеливающая,средства гигиены,5,3805.23,0.01
19-3_20250828121026-76GG,Хлеб цельнозерновой,продукты питания,2,346.58,0.15
19-3_20250828121026-25DA,Средство для мытья окон без разводов,бытовая химия,4,2824.72,0.29
19-3_20250828121026-6A88,Лежанка для животных с бортиками,товары для животных,5,3358.15,0.11
19-3_20250828121026-MD8H,Бананы свежие,продукты питания,2,4522.58,0.22
19-3_20250828121026-T5EC,Дезодорант-антиперспирант,средства гигиены,4,3427.15,0.21
19-3_20250828121026-HF2X,Влажные салфетки для гигиены животных,товары для животных,2,3714.97,0.09
19-3_20250828121026-0V8M,Дезодорант-антиперспирант,средства гигиены,2,3692.91,0.02
19-3_20250828121026-JQCV,Лоток с сеткой для кошек,товары для животных,3,376.69,0.01
19-3_20250828121026-PBXS,Дезодорант-антиперспирант,средства гигиены,4,1814.62,0.21
19-3_20250828121026-KBN7,Куриные яйца С1,продукты питания,1,761.45,0.02
19-3_20250828121026-AF66,Дезодорант-антиперспирант,средства гигиены,2,417.66,0.1
19-3_20250828121026-7F7Z,Зубная паста отбеливающая,средства гигиены,5,194.71,0.11
19-3_20250828121026-HM7L,Молоко пастеризованное 2.5%,продукты питания,1,2983.3,0.04
19-3_20250828121026-M2IK,Стиральный порошок для цветного белья,бытовая химия,4,4452.16,0.2
19-3_20250828121026-R0A1,Кастрюля нержавеющая 3 л,посуда,1,505.24,0.24
19-3_20250828121026-L8OW,Гель для душа увлажняющий,средства гигиены,4,3210.48,0.27
19-3_20250828121026-MJZC,Бананы свежие,продукты питания,5,2894.36,0.06
19-3_20250828121026-GL01,Лоток с сеткой для кошек,товары для животных,1,4639.13,0.09
19-3_20250828121026-E1LM,Шампунь для нормальных волос,средства гигиены,1,530.05,0.28
19-3_20250828121026-4WN4,Молоко пастеризованное 2.5%,продукты питания,1,4846.25,0.0
19-3_20250828121026-9MWL,Молоко пастеризованное 2.5%,продукты питания,4,3034.61,0.28
19-3_20250828121026-31SU,Кастрюля нержавеющая 3 л,посуда,1,3227.1,0.22
19-3_20250828121026-0T9W,Картофель очищенный,продукты питания,2,3625.6,0.3
19-3_20250828121026-D3CY,Бананы свежие,продукты питания,5,1455.39,0.09
19-3_20250828121026-P6EB,Лоток с сеткой для кошек,товары для животных,5,3516.17,0.29
19-3_20250828121026-AHSD,Порошок для прочистки труб,бытовая химия,5,1914.87,0.15
19-3_20250828121026-F81U,Порошок для прочистки труб,бытовая химия,5,1450.61,0.05
19-3_20250828121026-8NL7,Хлеб цельнозерновой,продукты питания,1,925.18,0.17
19-3_20250828121026-LRTF,Сковорода с антипригарным покрытием 26 см,посуда,4,1795.87,0.22
19-3_20250828121026-P6UD,Набор столовых приборов на 6 персон,посуда,2,3956.54,0.1
19-3_20250828121026-WBIR,Дезодорант-антиперспирант,средства гигиены,5,3370.32,0.08
19-3_20250828121026-89YK,Миски устойчивые для корма и воды,товары для животных,5,1656.76,0.28
19-3_20250828121026-IWRU,Хлеб цельнозерновой,продукты питания,1,4668.42,0.13
