doc_id,item,category,amount,price,discount
13-4_20250828121026-B301,Кастрюля нержавеющая 3 л,посуда,4,4483.91,0.05
13-4_20250828121026-H765,Чистящий крем для сантехники,бытовая химия,5,4110.03,0.16
13-4_20250828121026-ZLSN,Средство для мытья окон без разводов,бытовая химия,2,3222.41,0.29
13-4_20250828121026-UZ06,Хлеб цельнозерновой,продукты питания,1,2297.36,0.03
13-4_20250828121026-4GO5,Сковорода с антипригарным покрытием 26 см,посуда,1,336.22,0.19
13-4_20250828121026-P8PH,Лежанка для животных с бортиками,товары для животных,1,3405.6,0.21
13-4_20250828121026-CZHP,Набор тарелок глубоких 6 шт,посуда,5,3257.68,0.06
13-4_20250828121026-0S9H,Дезодорант-антиперспирант,средства гигиены,5,975.18,0.15
13-4_20250828121026-SMN6,Набор столовых приборов на 6 персон,посуда,1,3557.96,0.29
13-4_20250828121026-4EZI,Сковорода с антипригарным покрытием 26 см,посуда,3,1096.1,0.13
13-4_20250828121026-EZTI,Чистящий крем для сантехники,бытовая химия,1,1284.46,0.23
13-4_20250828121026-5FDY,Гель для душа увлажняющий,средства гигиены,3,330.41,0.08
13-4_20250828121026-9LWD,Порошок для прочистки труб,бытовая химия,1,2618.84,0.2
13-4_20250828121026-QB7R,Миски устойчивые для корма и воды,товары для животных,4,201.69,0.1
13-4_20250828121026-UPRH,Набор тарелок глубоких 6 шт,посуда,4,150.89,0.09
13-4_20250828121026-8F8V,Стиральный порошок для цветного белья,бытовая химия,1,404.08,0.19
13-4_20250828121026-4F5O,Картофель очищенный,продукты питания,1,4606.81,0.16
13-4_20250828121026-YYYM,Лежанка для животных с бортиками,товары для животных,5,4618.25,0.18
13-4_20250828121026-3QFP,Средство для мытья окон без разводов,бытовая химия,1,3113.88,0.16
13-4_20250828121026-5KZY,Сковорода с антипригарным покрытием 26 см,посуда,4,379.2,0.28
13-4_20250828121026-JO3V,Набор столовых приборов на 6 персон,посуда,4,718.77,0.21
13-4_20250828121026-DUS2,Бананы свежие,продукты питания,2,2900.87,0.16
13-4_20250828121026-H6CX,Кастрюля нержавеющая 3 л,посуда,3,2354.36,0.06
13-4_20250828121026-LT4W,Гель для душа увлажняющий,средства гигиены,4,3121.62,0.29
13-4_20250828121026-19LM,Сковорода с антипригарным покрытием 26 см,посуда,5,4479.36,0.11
13-4_20250828121026-M88V,Порошок для прочистки труб,бытовая химия,5,2877.0,0.01
13-4_20250828121026-60UL,Кастрюля нержавеющая 3 л,посуда,2,2516.55,0.2
13-4_20250828121026-8RNP,Зубная паста отбеливающая,средства гигиены,1,4558.57,0.24
13-4_20250828121026-2FST,Лоток с сеткой для кошек,товары для животных,4,1269.02,0.1
13-4_20250828121026-1DWU,Куриные яйца С1,продукты питания,4,4978.76,0.16
13-4_20250828121026-G7BO,Чистящий крем для сантехники,бытовая химия,1,4604.24,0.17
