doc_id,item,category,amount,price,discount
19-4_20250828121026-G4EL,Шампунь для нормальных волос,средства гигиены,1,1701.19,0.27
19-4_20250828121026-O7VI,Стиральный порошок для цветного белья,бытовая химия,1,216.56,0.04
19-4_20250828121026-344K,Миски устойчивые для корма и воды,товары для животных,3,4606.74,0.04
19-4_20250828121026-7P05,Куриные яйца С1,продукты питания,5,1405.88,0.14
19-4_20250828121026-0Z64,Лежанка для животных с бортиками,товары для животных,5,1893.13,0.23
19-4_20250828121026-5QVR,Зубная паста отбеливающая,средства гигиены,4,2304.93,0.27
19-4_20250828121026-UGZH,Дезодорант-антиперспирант,средства гигиены,5,466.63,0.19
19-4_20250828121026-ONM6,Сковорода с антипригарным покрытием 26 см,посуда,4,635.25,0.09
19-4_20250828121026-EW9I,Шампунь для нормальных волос,средства гигиены,5,377.54,0.01
19-4_20250828121026-O6E1,Кастрюля нержавеющая 3 л,посуда,4,2280.34,0.13
19-4_20250828121026-U51D,Чистящий крем для сантехники,бытовая химия,1,429.9,0.09
19-4_20250828121026-KW87,Ватные диски косметические,средства гигиены,4,3927.82,0.04
19-4_20250828121026-XG4N,Чайный сервиз на 6 персон,посуда,2,696.13,0.14
19-4_20250828121026-6HYZ,Щетка-пуходерка для вычесывания,товары для животных,1,729.89,0.27
19-4_20250828121026-FA9W,Чистящий крем для сантехники,бытовая химия,5,2927.26,0.22
19-4_20250828121026-647H,Молоко пастеризованное 2.5%,продукты питания,3,4355.16,0.12
19-4_20250828121026-BT3Z,Гель для душа увлажняющий,средства гигиены,3,2617.22,0.13
19-4_20250828121026-QMZE,Набор тарелок глубоких 6 шт,посуда,1,373.1,0.15
19-4_20250828121026-6M8H,Молоко пастеризованное 2.5%,продукты питания,3,137.56,0.11
19-4_20250828121026-0UN3,Куриные яйца С1,продукты питания,2,4775.14,0.24
19-4_20250828121026-7X29,Стиральный порошок для цветного белья,бытовая химия,3,717.48,0.02
19-4_20250828121026-G147,Дезодорант-антиперспирант,средства гигиены,1,3674.85,0.04
19-4_20250828121026-QZ9S,Порошок для прочистки труб,бытовая химия,1,1461.46,0.26
19-4_20250828121026-16XT,Миски устойчивые для корма и воды,товары для животных,4,3108.96,0.21
19-4_20250828121026-XVFR,Сковорода с антипригарным покрытием 26 см,посуда,3,2015.75,0.25
19-4_20250828121026-LRZD,Щетка-пуходерка для вычесывания,товары для животных,1,720.87,0.06
19-4_20250828121026-G029,Лежанка для животных с бортиками,товары для животных,1,2481.34,0.02
19-4_20250828121026-BJ9T,Щетка-пуходерка для вычесывания,товары для животных,3,2804.62,0.16
19-4_20250828121026-4NDE,Дезодорант-антиперспирант,средства гигиены,4,3036.47,0.28
19-4_20250828121026-6L0R,Набор тарелок глубоких 6 шт,посуда,4,1106.79,0.17
19-4_20250828121026-WO2M,Бананы свежие,продукты питания,2,3757.58,0.27
19-4_20250828121026-7A3U,Гель для душа увлажняющий,средства гигиены,3,2872.45,0.11
